artist,albums,tracks,bytes,in_active,active_tracks
Hayden Everett,2,2,5040175,no,0
Hayley Kiyoko,2,2,7095588,no,0
He Is We,2,2,7057913,no,0
Heart,2,2,10395996,no,0
Hed F.U.K_,1,2,12004476,no,0
Hensonn,2,2,4903930,no,0
Hermei,2,2,7924199,no,0
Herrschaft,1,2,7020019,no,0
Hex Rated,2,2,6225737,no,0
Hidemi Ishikawa,1,2,8865022,no,0
Hinder,1,2,7489110,no,0
Hirs Collective,1,2,624824,no,0
Hoax,2,2,7498087,no,0
Honey Bxby,2,2,6795300,no,0
Honeyblood,2,2,5057895,no,0
Honeychild Coleman,1,2,6560508,no,0
Hootie & The Blowfish,1,2,6484966,no,0
"Hopsin, Dax",2,2,4661959,no,0
"Hostage Calm, Anti-Flag",1,2,4860676,no,0
Hot Chelle Rae,1,2,5935254,no,0
House of Pain,2,2,6362943,no,0
Howard Johnson,1,2,7751834,no,0
Howlin' Wolf,2,2,4791549,no,0
Humble Goods,2,2,4053288,no,0
Hunter Oliveri,2,2,5485405,no,0
Hyper-On Experience,2,2,11254022,no,0
Hypomania,1,2,4084912,no,0
I Hate Models,2,2,14811513,no,0
I Prevail,2,2,7533715,no,0
Ice Cube,2,2,8154870,no,0
Iceberg Black,2,2,5468352,no,0
If These Trees Could Talk,1,2,11577498,no,0
Iglooghost,2,2,7336517,no,0
"Igorrr, Bong-Ra",1,2,6380805,no,0
Ikimonogakari,1,2,6876999,no,0
Ill Figure,1,2,11079054,no,0
Illdisposed,1,2,7315392,no,0
In Cauda Venenum,1,2,39326250,no,0
Indecorum,2,2,5059220,no,0
Infinity Ripple,1,2,5016018,no,0
Inner Circle,2,2,7352363,no,0
"Insane Poetry, JP Tha Hustler",1,2,6237303,no,0
Insideinfo,2,2,7756802,no,0
"Insideinfo, Mefjus",2,2,10233028,no,0
Intalex Productions present The X,1,2,12001346,no,0
Interplanetary Criminal,1,2,8923546,no,0
Interpol,2,2,6847066,no,0
Inzo,2,2,7422741,no,0
Iron & Wine,2,2,12061073,no,0
Isaac Dunbar,2,2,4374358,no,0
Isolated Beingz,2,2,6092992,no,0
Isorin,2,2,7808116,no,0
Istasha,2,2,4090807,no,0
Ital Tek,2,2,7700019,no,0
Iva Gonzo,2,2,5732851,no,0
J Bookey,2,2,9118766,no,0
J Majik,2,2,10757368,no,0
J.J. Fad,1,2,6046888,no,0
JAY Z,1,2,7994946,no,0
JHITZU,1,2,8254877,no,0
JVLIAH,2,2,7508804,yes,1
Jack Ruby,2,2,12746216,no,0
Jackie Hayes,2,2,5187571,no,0
James Blake,2,2,6407122,no,0
Jamiroquai,1,2,8625840,no,0
Japan,2,2,10434805,no,0
Jasiah,2,2,3783339,no,0
Jeff Buckley,2,2,13069065,no,0
Jeff Russo,2,2,4143229,no,0
Jeremy Zucker,2,2,5723189,no,0
Jerry Knight,1,2,8378158,no,0
Jessaudrey,2,2,6094422,no,0
Jethro Tull,2,2,10788870,no,0
Jhariah,2,2,7344528,no,0
Jimmy Cliff,2,2,5675640,no,0
"Joe Fight, DJ Myosuke",2,2,5676072,no,0
"Joely, MadRush MC",2,2,9565246,no,0
John Maus,2,2,4799123,no,0
Jonny L,2,2,9090709,no,0
Jordana Bryant,2,2,5477757,no,0
Joseph Dubay,2,2,4636345,no,0
Joy Again,2,2,4521883,no,0
Joyryde,2,2,7171721,no,0
Joywave,2,2,6371193,no,0
Juicy,1,2,8817322,no,0
Julio Jaramillo,1,2,5262685,no,0
Jungle Brothers,1,2,8543758,no,0
Junior dos Santos Silva,1,2,7732025,no,0
"Just Johnny, her.story, Eiji",2,2,3408462,no,0
"Justin Hurwitz, Justin Paul, Benj Pasek",1,2,7119410,no,0
Justin Nozuka,2,2,9031884,no,0
"K Motionz, Subsonic",2,2,7399615,no,0
K7,1,2,7623630,no,0
KAIVON,2,2,7506482,no,0
KAROL G,2,2,7453896,no,0
KRISTINE,2,2,7327729,no,0
KROWW,2,2,7140707,no,0
Kacey Musgraves,2,2,6098025,no,0
Kailee Morgue,2,2,4928546,no,0
Kajagoogoo,2,2,7166047,no,0
Kalax,2,2,7932316,no,0
Kaleo,2,2,7431975,no,0
Kali Uchis,1,2,6341860,no,0
Kamel Ouali,1,2,7194362,no,0
Kanga,1,2,8332167,no,0
"Kanine, Alphaze",1,2,8053038,no,0
"Kanine, Slipz",1,2,7547626,no,0
"Kanine, Subsonic, ShockOne",1,2,7030538,no,0
"Kanine, tsuki",1,2,7661600,no,0
Kareen Lomax,2,2,5034722,no,0
Kareful,1,2,6898251,no,0
Katastrophy Wife,2,2,6270536,no,0
Katia Labèque,2,2,5080297,no,0
Katrina Stuart,2,2,5648239,no,0
Kavern,2,2,7419987,no,0
Keith Sweat,1,2,9419176,no,0
Kelis,2,2,7097958,no,0
Kelmitt,2,2,11512403,no,0
Kelsea Ballerini,2,2,5299969,no,0
Kelsy Karter,2,2,5977508,no,0
Kelz2busy,2,2,4793814,no,0
"Kendrick, BAKER",1,2,8183446,no,0
"Kendrick, Flatline",1,2,7472976,no,0
KennyHoopla,1,2,5581240,no,0
